Fecha,Valor,statusCode,Valor_lag_1,Valor_lag_7,Valor_lag_30,MA_7,MA_30,MA_90,day_of_week,day_of_month,month,quarter,year,is_month_start,is_month_end,ROC_7,ROC_30,momentum_7,momentum_30,daily_return,volatility_7,volatility_30,range_7,range_30
2018-01-03,609.49,OK,614.75,619.03,648.78,614.01,633.2468421052631,632.4298275862069,2,3,1,1,2018,0,0,-1.5411207857454312,-6.055981996978943,-9.539999999999964,-39.289999999999964,-0.8556323708824753,0.3279898841860778,0.7442199754944864,7.090000000000032,46.25
2018-01-04,604.84,OK,609.49,616.58,648.21,611.075,630.9642105263158,632.0160344827586,3,4,1,1,2018,0,0,-1.9040513801939718,-6.690732941485011,-11.740000000000009,-43.370000000000005,-0.7629329439367338,0.3430382232507398,0.7436561121029306,10.379999999999995,50.89999999999998
2018-01-05,604.0,OK,604.84,615.22,652.52,608.27,628.4105263157894,631.541186440678,4,5,1,1,2018,0,0,-1.8237378498748513,-7.435787408815053,-11.220000000000027,-48.51999999999998,-0.13887970372330471,0.3898226127049632,0.6836060428153719,10.75,51.74000000000001
2018-01-10,607.25,OK,606.29,609.49,655.27,605.684,622.5145,630.366440677966,2,10,1,1,2018,0,0,-0.3675203858964027,-7.328276893494278,-2.240000000000009,-48.01999999999998,0.15834006828416847,0.410223052818076,0.6720064159929674,3.25,51.74000000000001
2018-01-11,609.17,OK,607.25,604.84,655.53,606.55,620.1965,630.0983050847457,3,11,1,1,2018,0,0,0.7158918060974573,-7.0721401003768,4.329999999999927,-46.360000000000014,0.3161794977356802,0.1919362272145589,0.6895405525306767,5.169999999999959,51.74000000000001
2018-01-12,608.04,OK,609.17,604.0,655.74,607.358,617.8115,629.7306666666666,4,12,1,1,2018,0,0,0.6688741721854186,-7.274224540214114,4.039999999999964,-47.700000000000045,-0.1854983009668909,0.21125209359543745,0.6812662688507388,3.1299999999999955,45.39999999999998
2018-01-17,601.69,OK,601.69,607.25,638.37,604.936,611.7439999999999,628.8542372881357,2,17,1,1,2018,0,0,-0.9156031288595989,-5.745884048435856,-5.559999999999945,-36.67999999999995,0.0,0.3024618772499323,0.6365286526302633,7.4799999999999045,21.16999999999996
2018-01-18,604.99,OK,601.69,609.17,622.86,604.1,610.8505,628.5057627118643,3,18,1,1,2018,0,0,-0.6861795557890127,-2.869023536589277,-4.17999999999995,-17.870000000000005,0.5484551845634789,0.40528128396911905,0.37031445686770714,6.349999999999909,20.41999999999996
2018-01-19,605.45,OK,604.99,608.04,620.62,603.582,610.092,628.1215,4,19,1,1,2018,0,0,-0.4259588184987728,-2.444329863684691,-2.589999999999918,-15.169999999999959,0.07603431461677967,0.3879520490078235,0.3716520611291617,3.759999999999991,20.41999999999996
2018-01-25,604.12,OK,608.15,604.99,622.11,606.11,607.7957142857143,626.4943333333333,3,25,1,1,2018,0,0,-0.14380402981867269,-2.8917715516548537,-0.8700000000000045,-17.99000000000001,-0.6626654608238081,0.4147238097905792,0.39636087436462425,4.029999999999973,17.339999999999918
2018-01-26,599.33,OK,604.12,605.45,619.03,604.8860000000001,606.8576190476191,626.0490163934426,4,26,1,1,2018,0,0,-1.0108183995375386,-3.1823982682583907,-6.1200000000000045,-19.699999999999932,-0.7928888300337666,0.519589071357118,0.4181075391221333,8.819999999999936,17.25
2018-02-01,603.25,OK,604.42,604.12,614.75,602.4,605.0059090909091,624.0455737704917,3,1,2,1,2018,1,0,-0.14401112361782653,-1.87067913786092,-0.8700000000000045,-11.5,-0.19357400483107634,0.6182097995101346,0.45136148847667007,5.2999999999999545,10.159999999999968
2018-02-02,599.19,OK,603.25,599.33,609.49,602.372,604.5377272727272,623.6446774193548,4,2,2,1,2018,0,0,-0.023359418016788425,-1.6899374887200724,-0.13999999999998636,-10.299999999999955,-0.6730211355159499,0.5732713384019195,0.43529041044169026,5.439999999999941,9.979999999999905
2018-02-07,601.23,OK,603.07,604.42,606.04,601.6000000000001,604.1140909090909,622.0037704918034,2,7,2,1,2018,0,0,-0.5277786969325904,-0.7936769850174774,-3.189999999999941,-4.809999999999945,-0.3051055433034411,0.40192229767999127,0.4152280890242929,4.059999999999945,9.979999999999905
2018-02-08,596.53,OK,601.23,603.25,606.29,600.256,603.6704545454545,621.4311475409835,3,8,2,1,2018,0,0,-1.1139660174057209,-1.609790694222235,-6.720000000000027,-9.759999999999991,-0.7817307852236333,0.4884432803554648,0.44898060880399776,6.540000000000077,12.639999999999986
2018-02-09,600.74,OK,596.53,599.19,607.25,600.566,603.3745454545455,621.0974193548386,4,9,2,1,2018,0,0,0.25868255478227464,-1.072046109510083,1.5499999999999545,-6.509999999999991,0.7057482440111951,0.6560723078624443,0.48408930370073133,6.540000000000077,12.639999999999986
2018-02-14,596.99,OK,600.35,601.23,604.09,599.536,602.4250000000001,619.3921311475409,2,14,2,1,2018,0,0,-0.7052209636911,-1.1753215580459941,-4.240000000000009,-7.100000000000023,-0.5596735237778039,0.6659887096634094,0.4942919989767663,6.540000000000077,11.620000000000005
2018-02-15,596.66,OK,596.99,596.53,601.69,599.5620000000001,602.1963636363637,618.8388524590165,3,15,2,1,2018,0,0,0.02179270112148135,-0.8359786601073838,0.12999999999999545,-5.030000000000086,-0.05527730782760587,0.5731066255328412,0.4897551506774528,6.410000000000082,11.620000000000005
2018-02-16,592.66,OK,596.66,600.74,601.69,597.946,601.7859090909092,618.4166129032259,4,16,2,1,2018,0,0,-1.34500782368413,-1.5007728232146245,-8.080000000000041,-9.030000000000086,-0.6703985519391331,0.2679544880035251,0.5064403617655283,10.410000000000082,15.490000000000009
2018-02-21,595.63,OK,594.58,596.99,606.55,594.5360000000001,600.2572727272727,616.2086885245902,2,21,2,1,2018,0,0,-0.22780951104708347,-1.800346220426996,-1.3600000000000136,-10.919999999999959,0.17659524370143842,0.41556499501518696,0.489979663322788,4.0,15.490000000000009
